Placesss,Restaurant,Hotel,Resort,Park,Lake,Mountain,Mountainous,Historical,History,Museum,Religious,Mosque,Fort,Mall,Shopping,Building,Beach,Kpk,Punjab,Sindh,Balochistan,Gigit,Kashmir,Quetta,Peshawar,Karachi,Lahore,Gilgit,Muzaffarabad,Islamabad,Mansehra,Murree,Abbottabad,Swat,Naran,Ski ,Thand,Peak,Top,Ansoo,Tear,Snowfall,Snow,Cold,Bala,Cultural,Culture,Gali,Green,Mughal,Khyber Pakhtunkhwa,Hiking,Hike,Bazaar,Fairy,Galyat,Badshah,Shahi,Mina re pakistan,Aurangzeb,Resolution,Eat,Tower,Amusement,Doll,Movie,Jinni,Jinny,Magical,Do,Darya,View,Residency,Father,House,Ziarat,Only,Dry,Ba,Dha,Family,Open,Water,Boating,City,Mangora,Tourism,Sea,Fantasy,Slide,Snowbar,Food,Largest,Biggest,Picnic,Character,Province,Tourist,Hill,Mughals,Movement,Desert,Island,River,Tomb
CLIFTON BEACH,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Karachi,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Sindh,Yes,No,No,No,No,No,No,No
DOLMEN MALL,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Karachi,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Sindh,No,No,No,No,No,No,No,No
ALADIN PARK,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Karachi,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Sindh,No,No,No,No,No,No,No,No
DO DARYA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Karachi,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Sindh,Yes,No,No,No,No,No,No,No
QUAID E AZAM RESIDENCY ,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Ziarat,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Balochistan,Yes,Yes,No,No,No,No,No,No
HANNAH LAKE,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Quetta,No,Yes,No,No,No,No,No,No,No,Yes,No,Balochistan,Yes,No,No,No,No,No,No,No
ASKARI PARK,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Quetta,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Balochistan,No,No,No,No,No,No,No,No
FAISAL MASJID,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Islamabad,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Islamabad,Yes,No,No,No,No,No,No,No
SHAKARPARIAN ,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Islamabad,No,Yes,No,No,No,No,No,No,No,Yes,No,Islamabad,Yes,No,No,No,No,No,No,No
LOK VIRSA,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Islamabad,No,Yes,No,No,No,No,No,No,No,Yes,No,Islamabad,Yes,No,No,No,No,No,No,No
FATIMA JINNAH PARK,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Islamabad,No,Yes,No,No,No,No,No,No,No,Yes,No,Islamabad,No,No,No,No,No,No,No,No
LAKE VIEW,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Islamabad,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Islamabad,Yes,No,No,No,No,No,No,No
CENTAURAS ,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Islamabad,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Islamabad,No,No,No,No,No,No,No,No
MONAL,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Islamabad,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Islamabad,Yes,No,No,No,No,No,No,No
